covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Cancer_Type,Gene,Endpoint
ERBB2_altered,-0.8139733526216274,0.4430939952181977,0.28101190369106827,-1.3647465630831594,-0.26320014216009535,0.25544540708149865,0.768588055042952,0.0,-2.8965796179099685,0.0037725490131224984,8.050244640231023,BLCA,ERBB2,OS
KRAS_altered,0.82433877156826,2.2803724196249164,0.31375379834906164,0.20939262679145643,1.4392849163450636,1.2329289844623785,4.217678745263265,0.0,2.6273427633572592,0.008605460234901472,6.8605319325065075,BLCA,KRAS,OS
IGF1R_altered,0.7535079356751537,2.1244393572306257,0.3283383141481036,0.1099766652002726,1.3970392061500347,1.1162520226375687,4.043211112743363,0.0,2.294913213616821,0.021738098401733727,5.523630447495027,BLCA,IGF1R,OS
MDM4_altered,1.2539679396020678,3.50421994081623,0.5858235378528989,0.10577490411454882,2.4021609750895867,1.1115716381416443,11.047022946846141,0.0,2.140521605188457,0.03231263668458556,4.951757711639015,BLCA,MDM4,OS
ACACB_altered,-1.2451843225292867,0.28788783902536463,0.5837733544049424,-2.3893590722971108,-0.10100957276146261,0.09168843070453235,0.9039243797919793,0.0,-2.1329927327679084,0.0329253223563206,4.924658624476275,BLCA,ACACB,OS
SOX9_altered,1.683960775251916,5.386849874770696,0.5133951208286196,0.6777248285892321,2.6901967219145995,1.9693919269686968,14.734574249007927,0.0,3.2800482648413247,0.001037893292285752,9.912126159466938,BRCA,SOX9,OS
ERBB2_altered,1.399431433714883,4.052894972197335,0.42669360734751305,0.563127330880282,2.235735536549484,1.7561560023610634,9.35335906011685,0.0,3.2797103345753684,0.0010391371830046502,9.910398158643211,BRCA,ERBB2,OS
CSF2RA_altered,2.2098373578719244,9.114233914087242,0.7205576442058544,0.7975703264434233,3.6221043893004254,2.220140154265464,37.41622333216238,0.0,3.066843264576624,0.002163322586045549,8.852535474384085,BRCA,CSF2RA,OS
NFE2L2_altered,2.01750852972254,7.519566798519259,0.7191031301529808,0.6080922934526787,3.426924765992401,1.83692374260541,30.78183569950154,0.0,2.805589970514158,0.005022455787874846,7.6373913255331765,BRCA,NFE2L2,OS
CSF1R_altered,1.9784636226701813,7.2316239427424245,0.7208426146053156,0.5656380595220762,3.3912891858182865,1.760570773362513,29.704221858326463,0.0,2.7446540792450977,0.00605747112629832,7.367068661757319,BRCA,CSF1R,OS
APC_altered,1.1323466847341142,3.1029295604277216,0.47904292199093945,0.19343981058304216,2.071253558885186,1.2134163495308885,7.9347635794576705,0.0,2.3637687412810395,0.018090100933827184,5.788655732267439,CESC,APC,OS
MDM4_altered,3.2583822008113716,26.007428293480135,1.2391840343556872,0.8296261232571798,5.6871382783655635,2.2924614819877767,295.04806591298603,0.0,2.6294578613624284,0.008552113003774625,6.869503368354368,CHOL,MDM4,OS
LATS2_altered,1.190662101679349,3.289258310022807,0.35411790542957955,0.4966037607566123,1.8847204426020858,1.643131316602987,6.584513435251038,0.0,3.3623323854097684,0.0007728703112819473,10.337486031333924,COAD,LATS2,OS
PDHA1_altered,1.2563937403108483,3.5127307986813876,0.46232832148136405,0.35024688117451896,2.1625405994471776,1.4194179329062415,8.69319555427925,0.0,2.7175357466425343,0.006577005039972608,7.248353508849121,COAD,PDHA1,OS
LATS1_altered,0.9137332150161691,2.4936143770049033,0.37342612174862433,0.18183146550239604,1.6456349645299422,1.199412034540274,5.18430070912946,0.0,2.44689153168363,0.014409419656270229,6.116843958070611,COAD,LATS1,OS
IGF1R_altered,0.8220896532690897,2.2752493556350974,0.3725785591596562,0.09184909590433765,1.5523302106338417,1.096199388621432,4.722461701815178,0.0,2.2064867477165007,0.027349937117709965,5.192318673761364,COAD,IGF1R,OS
KEAP1_altered,1.067219048374033,2.907283233496776,0.5147521280609907,0.058323416409141515,2.0761146803389243,1.0600577803570155,7.973429332243411,0.0,2.073267870487721,0.038147357088078676,4.7122730815485205,COAD,KEAP1,OS
RHOA_altered,2.9288826262275207,18.706716420131528,1.429097213919758,0.12790355653826202,5.72986169591678,1.1364433948765953,307.92667791537315,0.0,2.049463533830648,0.0404168101404536,4.628900726942481,DLBC,RHOA,OS
MST1_altered,2.071568281413665,7.937261221325745,0.7346858167707251,0.6316105405906505,3.511526022236679,1.8806369837351375,33.49934955040434,0.0,2.819665541549638,0.00480737272941389,7.700535620560023,ESCA,MST1,OS
SOX17_altered,1.6101815784868927,5.003719713204751,0.7317384452973678,0.17600057960071935,3.0443625773730663,1.1924387497888262,20.996643200959188,0.0,2.2004878776494223,0.02777229907619757,5.1702095769487215,ESCA,SOX17,OS
BRCA2_altered,1.0125465168169852,2.752601644000998,0.4671454566064827,0.09695824632676042,1.9281347873072099,1.1018143678634762,6.876671816550343,0.0,2.167518708567771,0.030195324735729393,5.049531001241834,ESCA,BRCA2,OS
JAK1_altered,1.444894869014417,4.2414062161647275,0.7278966903092039,0.018243571542472026,2.871546166486362,1.0184110021212196,17.664309058966285,0.0,1.9850273922809551,0.04714142397198354,4.406860851927176,ESCA,JAK1,OS
TP53_altered,-0.5410559300293922,0.5821332357591329,0.14873953325514827,-0.8325800582867805,-0.24953180177200396,0.43492570382436263,0.7791655015916207,0.0,-3.63760674911668,0.0002751831524725246,11.827320232868315,GBM,TP53,OS
MTOR_altered,1.2851040700748584,3.615044155557499,0.5150963984987588,0.2755336804509996,2.294674459698717,1.3172334690690224,9.921205734217224,0.0,2.494880713241786,0.012599947982948764,6.3104384119937205,GBM,MTOR,OS
PDGFRA_altered,0.6951476610320115,2.0040049655361756,0.31245332194750325,0.0827504031650067,1.3075449188990165,1.0862706449939268,3.6970859153761833,0.0,2.2248048338842965,0.02609434276056239,5.260119124586492,GBM,PDGFRA,OS
VHL_altered,2.1874499432805132,8.912456841680628,1.0170942639307559,0.19398181709395557,4.1809180694670705,1.214074207358291,65.42589116332188,0.0,2.150685556741509,0.03150102713581958,4.988457319270292,GBM,VHL,OS
PIK3CA_altered,0.44723915042455964,1.5639882830273426,0.2118759134985218,0.031969990775933044,0.8625083100731863,1.0324865207208624,2.3690956737517723,0.0,2.110854145899316,0.03478485042490351,4.84539707265493,GBM,PIK3CA,OS
CDH1_altered,1.3428216841187401,3.829834857507712,0.508395465070817,0.34638488267644774,2.3392584855610323,1.4139467146997515,10.373541579249508,0.0,2.641293592049826,0.008259011494435678,6.919815166142847,HNSC,CDH1,OS
SLC16A1_altered,1.5448763582793306,4.687392033975278,0.5874137768834514,0.3935665115651188,2.696186204993542,1.4822578677442628,14.823091553976292,0.0,2.629962760621205,0.008539422176481517,6.87164583206781,HNSC,SLC16A1,OS
NFE2L2_altered,0.5016899982711586,1.6515099625757275,0.25504153079925046,0.0018177833426646917,1.0015622131996524,1.0018194365123547,2.7225316829369026,0.0,1.9670913858576675,0.049172676177346025,4.345999315138455,HNSC,NFE2L2,OS
RB1_altered,2.1995975601080864,9.021382204714827,0.8409223790319857,0.551419983411654,3.8477751368045188,1.73571595665323,46.888626316756806,0.0,2.6156963055735507,0.008904571868611802,6.811238036376065,KICH,RB1,OS
TP53_altered,1.432042970022744,4.187244875421737,0.47096641366714764,0.5089657613071419,2.3551201787383462,1.663569776689324,10.539395396830374,0.0,3.0406477584510534,0.0023606982809843543,8.726570621046982,KIRC,TP53,OS
HIF1A_altered,1.9339470453281808,6.916757187886123,0.7356579847069091,0.4920838903633211,3.3758102002930404,1.635721334706691,29.24797089887749,0.0,2.6288670625911545,0.008566984354299985,6.8669968309356735,KIRC,HIF1A,OS
SOX9_altered,1.5070870782249182,4.513563967891425,0.7280864596549059,0.0800638396700275,2.934110316779809,1.083356226571421,18.804765406408755,0.0,2.0699287265131097,0.03845901937237579,4.7005342124491465,KIRC,SOX9,OS
SETD2_altered,1.2438614350216401,3.4689828875832487,0.5619359965247217,0.14248712021656074,2.3452357498267196,1.1531382286910616,10.435732659739452,0.0,2.2135286628980317,0.02686121938020147,5.21833139156785,KIRP,SETD2,OS
TP53_altered,1.3147561626132742,3.723842862426416,0.6231860939197411,0.09333386286438605,2.5361784623621624,1.0978281981573437,12.631307601061188,0.0,2.109732831719122,0.034881374858618426,4.841399284332475,KIRP,TP53,OS
CDK4_altered,2.1341522917163185,8.449880436280038,1.0374164190299522,0.10085347344709916,4.167451109985538,1.1061145547358677,64.5507095822259,0.0,2.057179983436045,0.039668916223395544,4.655847206974948,KIRP,CDK4,OS
EGFR_altered,1.5842187604156819,4.87548097155859,0.2512704125639487,1.0917378014098218,2.076699719421542,2.979447263927285,7.9780954648271365,0.0,6.304836069835702,2.8849908257724325e-10,31.69071421774417,LGG,EGFR,OS
TP53_altered,-0.7784963183829876,0.459095826498788,0.197595928560987,-1.1657772218542717,-0.39121541491170364,0.31168032311062477,0.6762344693598029,0.0,-3.939839874497761,8.153601309545265e-05,13.582203060019513,LGG,TP53,OS
NF1_altered,0.9395090775774428,2.5587249744831464,0.30110482401079336,0.3493544669450166,1.529663688209869,1.4181517891916686,4.616623936127133,0.0,3.1202059969114453,0.0018072460618811556,9.111991337901756,LGG,NF1,OS
PTEN_altered,0.9209466064428472,2.511666824983296,0.3247580000667581,0.28443262262074487,1.5574605902649497,1.3290077652230126,4.746751979032331,0.0,2.835793440819118,0.004571200020443078,7.773211336823221,LGG,PTEN,OS
MTOR_altered,1.218792634201163,3.383100626810502,0.42470576207022304,0.3863846365168885,2.0512006318854374,1.4716506125325215,7.7772330970797485,0.0,2.8697341619764547,0.004108170243795313,7.927288316056101,LIHC,MTOR,OS
TP53_altered,0.5271879390349978,1.694161518411586,0.20551867220683753,0.12437874335910326,0.9299971347108924,1.1324446956948424,2.534501915526719,0.0,2.565158354587007,0.010312872658810639,6.5994099372473825,LIHC,TP53,OS
CDKN2C_altered,2.219559911761199,9.20327971935378,1.0166581458669117,0.226946561272783,4.212173262249615,1.254762813220938,67.50308241542905,0.0,2.183191981281539,0.029021675035486045,5.106725400361467,LIHC,CDKN2C,OS
MAPK8_altered,2.219559911761199,9.20327971935378,1.0166581458669117,0.226946561272783,4.212173262249615,1.254762813220938,67.50308241542905,0.0,2.183191981281539,0.029021675035486045,5.106725400361467,LIHC,MAPK8,OS
RHEB_altered,2.219559911761199,9.20327971935378,1.0166581458669117,0.226946561272783,4.212173262249615,1.254762813220938,67.50308241542905,0.0,2.183191981281539,0.029021675035486045,5.106725400361467,LIHC,RHEB,OS
DVL3_altered,1.180306204584795,3.2553708597739006,0.3450162901658813,0.5040867017800468,1.8565257073895431,1.6554728893813042,6.4014575549018025,0.0,3.4210158715036685,0.0006238769126058346,10.646450957977203,LUAD,DVL3,OS
RPS6KB1_altered,1.5849161506554879,4.878882270280927,0.5112324288930785,0.5829190022961199,2.5869132990148556,1.791259497476065,13.288690019955995,0.0,3.100187040339267,0.0019339847267749097,9.014207883173652,LUAD,RPS6KB1,OS
SMAD3_altered,1.1758385402383982,3.240859395762003,0.41824496536423245,0.35609347140930026,1.995583609067496,1.4277409949899382,7.356495092566053,0.0,2.8113632861411935,0.004933205062031019,7.663259026556034,LUAD,SMAD3,OS
CDKN1B_altered,1.188038734489078,3.2806406862299715,0.5088669700108065,0.19067780034587345,2.1853996686322823,1.210069505288239,8.894202576887352,0.0,2.3346744915745825,0.019560431811026097,5.675917970570998,LUAD,CDKN1B,OS
CREBBP_altered,0.6755445354326034,1.9651027527553124,0.31576844520728886,0.05664975537210781,1.2944393154930989,1.058285086810884,3.648949491033111,0.0,2.1393668230184826,0.03240597169044294,4.947596495975517,LUAD,CREBBP,OS
SLC2A1_altered,1.6170123579154152,5.038016020789886,0.5872425442597271,0.4660381209766815,2.7679865948541487,1.593667750361683,15.926535138817487,0.0,2.753568135894866,0.005894949817183195,7.406304752849602,LUSC,SLC2A1,OS
ATR_altered,-1.1712243199445425,0.30998718534797554,0.5835308838299751,-2.31492383611812,-0.027524803770965,0.09877370670457909,0.9728505518919173,0.0,-2.0071333881375253,0.04473546196686344,4.482437275129123,LUSC,ATR,OS
HIF1A_altered,2.1204551803581153,8.334930521024493,1.0132197255356408,0.13458100988270094,4.10632935083353,1.1440573351990284,60.72341363749915,0.0,2.092789083075867,0.03636798677503264,4.781187125132324,OV,HIF1A,OS
BRCA2_altered,-0.9049042972531638,0.4045806027252953,0.45419491003298745,-1.7951099628792293,-0.01469863162709828,0.16610918549821,0.9854088659252808,0.0,-1.99232593158616,0.04633530826863691,4.431744219811244,OV,BRCA2,OS
KEAP1_altered,1.1524536041189657,3.165951379035365,0.5858087566712704,0.004289539215087457,2.300617669022844,1.004298752457237,9.980345101387266,0.0,1.967286407030735,0.049150201241918705,4.346658866187022,OV,KEAP1,OS
JAK1_altered,1.4011566266335467,4.059893032669955,0.7142844646192845,0.0011848012632744709,2.8011284520038187,1.0011855034175683,16.4632142399764,0.0,1.961622709210632,0.04980642635889779,4.32752428928928,OV,JAK1,OS
MET_altered,1.503386147409954,4.496890452711674,0.602081733634393,0.3233276337371056,2.6834446610828024,1.3817179741777599,14.635420629686196,0.0,2.4969801663553994,0.012525596219163647,6.3189769123455815,SARC,MET,OS
KDR_altered,1.2510513858826842,3.494014584583282,0.5993843346594308,0.076279677052697,2.4258230947126713,1.0792643774317525,11.311536054151542,0.0,2.087227365716072,0.03686758689411027,4.761503199430099,SARC,KDR,OS
STAT3_altered,1.1134280766737834,3.0447782575080455,0.39588520385840104,0.3375073350990201,1.8893488182485467,1.4014498881279729,6.615059672078108,0.0,2.8125023765021306,0.004915766025176757,7.668368035011381,SKCM,STAT3,OS
KIT_altered,0.9112831773326329,2.487512405894966,0.35269437428469097,0.22001490618474873,1.602551448480517,1.2460953049757744,4.965685967014905,0.0,2.5837757667125567,0.009772530721308556,6.677052069828019,SKCM,KIT,OS
DVL2_altered,1.1765553066806322,3.2431831677222775,0.5150389924702498,0.16709743080514672,2.1860131825561178,1.181869410187154,8.89966096823802,0.0,2.284400450998074,0.022348007095950275,5.483710006284829,SKCM,DVL2,OS
PRKAA2_altered,-0.9515362791920003,0.38614733741799323,0.42036671983122376,-1.7754399103604381,-0.12763264802356244,0.1694089083710219,0.8801766543967139,0.0,-2.263586136347901,0.023599581325347167,5.405094924475881,SKCM,PRKAA2,OS
TSC2_altered,0.7005971035181133,2.014955485352434,0.3345310693288743,0.04492825592384786,1.3562659511123787,1.0459528162982776,3.8816718543009743,0.0,2.094266176602458,0.03623627558266321,4.786421509074493,SKCM,TSC2,OS
CTNNB1_altered,-1.7069855227264359,0.18141183103524167,0.5850571357986527,-2.8536764377899546,-0.5602946076629169,0.05763205026657375,0.5710408060677102,0.0,-2.917639010412642,0.003526924011256282,8.147373791904645,STAD,CTNNB1,OS
DAAM2_altered,0.9982226428901952,2.713454761906034,0.36637032363107097,0.2801500035690122,1.7162952822113784,1.3233283014182171,5.563877638693093,0.0,2.724627456167518,0.006437407825704074,7.279304414620874,STAD,DAAM2,OS
FBXW7_altered,-1.0826003719062662,0.33871359814726376,0.4189306594578655,-1.903689376463297,-0.26151136734923563,0.14901782095507513,0.7698871237987915,0.0,-2.5841994312549237,0.00976053374429651,6.678824242489176,STAD,FBXW7,OS
RHEB_altered,1.4335622028928257,4.193611110143607,0.5862575089514322,0.28451859968185,2.5826058061038015,1.3291220343170425,13.231572187542957,0.0,2.4452773414482394,0.014474079047716241,6.110384633999685,STAD,RHEB,OS
ATM_altered,-0.7433124795416755,0.4755361001201577,0.33076502501101523,-1.3916000159087556,-0.09502494317459542,0.24867709883453684,0.9093502521032409,0.0,-2.2472523493586465,0.024623904299441536,5.343796660004955,STAD,ATM,OS
TP53_altered,0.8928436196148501,2.442064088509079,0.21889525590085945,0.4638168016624869,1.3218704375672135,1.5901316342828766,3.7504297655679304,0.0,4.078862357890619,4.525662029705304e-05,14.431511624315851,UCEC,TP53,OS
PTEN_altered,-0.8358373934360201,0.43351130987014586,0.21544672039885182,-1.2581052060050406,-0.4135695808669996,0.28419200196120975,0.6612855199597807,0.0,-3.879554963234774,0.00010464775359563776,13.22217103700712,UCEC,PTEN,OS
ATM_altered,-1.3814418540819835,0.25121607487920755,0.42475857766472497,-2.213953368429304,-0.5489303397346631,0.10926781756882642,0.5775672808506834,0.0,-3.2522988980634504,0.0011447557080105182,9.770744526029366,UCEC,ATM,OS
BRCA2_altered,-1.833594500794301,0.1598379961444497,0.5880107249616582,-2.9860743442424384,-0.6811146573461637,0.050485235880779224,0.5060526026223806,0.0,-3.11830111757547,0.0018189685907524877,9.102663653358698,UCEC,BRCA2,OS
APC_altered,-1.5960262200037478,0.2027004065193998,0.5125867940364647,-2.600677875266069,-0.5913745647414266,0.07422324705379169,0.5535658494346481,0.0,-3.1136701892679053,0.0018477590990238415,9.080007606532739,UCEC,APC,OS
